observability,task_success,topology_accuracy,switch_success,wrong_topology_rate,overregularization_rate,graph_edit_gap,contact_mode_violation,force_smoothness,action_smoothness,label_noise_sensitivity,extractor_false_positive,extractor_false_negative,topology_utility,policy_cost,recovery_margin,weight
o00,0.5729615001077367,0.44302671538824856,0.6360940101963011,0.5569732846117649,0.05245377689079906,0.5483943624998748,0.43121502509156967,0.5204499999999948,0.5903699999999988,0.09003870544294205,0.1754267522321438,0.32103657142855313,0.3805209290234629,0.1326352725875793,0.16934163394877677,28185722880
o01,0.5798482158598609,0.4595236093008421,0.6425771045692712,0.5404763906991723,0.05215114721848424,0.5106475751312135,0.42423185630726523,0.5204499999999948,0.5903699999999988,0.09003870544294205,0.11781718749999795,0.149044614285718,0.40058669907304484,0.17563527258755435,0.17618239062635419,28185722880
o02,0.5882506699472874,0.4796925016143941,0.6504853188572504,0.5203074983856133,0.05185736585825781,0.4785724024682448,0.4157080408907289,0.5204499999999948,0.5903699999999988,0.09003870544294205,0.05464912276785866,0.026729242857143037,0.42003277348482787,0.23163527258754987,0.18453917768682587,28185722880
o03,0.592142398778475,0.4890251513437714,0.6541286610450513,0.5109748486562266,0.0517433898726377,0.46919806592174484,0.4117678123269894,0.5204499999999948,0.5903699999999988,0.09003870544294205,0.024352541071428823,0.004303657142857141,0.4256684338474883,0.2896352725876271,0.1884069540633793,28185722880
