lambda_topology,policy,task_success,topology_accuracy,switch_success,wrong_topology_rate,overregularization_rate,graph_edit_gap,contact_mode_violation,force_smoothness,action_smoothness,label_noise_sensitivity,extractor_false_positive,extractor_false_negative,topology_utility,policy_cost,recovery_margin,weight
l00,action_smoothness,0.47488757432471446,0.21920495891581301,0.5499976312121791,0.7807950410841845,0.0,0.6920769174721919,0.5528227629696431,0.4319000000000042,0.774020000000007,0.0757714285714308,0.1418265625000003,0.12527852142857143,0.24744783533975273,0.16374999999999568,0.038088463778073234,2348810240
l00,adaptive_switch_gate,0.539406964555134,0.3074986195322994,0.6237894129431383,0.6925013804677068,0.0,0.637334847889975,0.47340310551072096,0.529499999999995,0.5556199999999922,0.0757714285714308,0.06106529285714262,0.12527852142857143,0.3215664399881687,0.19875000000001333,0.1408113645551317,2348810240
l00,behavior_cloning,0.38771308811262617,0.21921266870406678,0.5499930687118936,0.7807873312959345,0.0,0.6920721374034803,0.5558435477157204,0.3231000000000038,0.42442000000000485,0.0757714285714308,0.1451178035714294,0.12527852142857143,0.18502892844865768,0.16275000000000128,0.018872115891474136,2348810240
l00,fixed_topology_regularizer,0.47605505744244253,0.26822150472197326,0.568653717464007,0.7317784952780245,0.0,0.6616866590723768,0.5050196080167707,0.4643000000000093,0.5220200000000108,0.0757714285714308,0.08282366071428558,0.12527852142857143,0.2630691709596307,0.19574999999997889,0.0835228188118594,2348810240
l00,force_penalty,0.5010395402783576,0.21963941681501403,0.5507045356455634,0.78036058318499,0.0,0.691807553574693,0.48308776493768935,0.6483000000000267,0.5968200000000086,0.0757714285714308,0.13532277946428506,0.12527852142857143,0.2727866893363376,0.16474999999999065,0.09502794027836395,2348810240
l00,oracle_topology_router,0.9098086749545162,0.9527550500789125,0.8637208384021199,0.04724494992109372,0.03649999999999966,0.23727586095107814,0.1666290846811451,0.7423000000000142,0.7468199999999734,0.0757714285714308,0.037707929464285805,0.12527852142857143,0.8101593071611375,0.20674999999999957,0.47679707495451995,2348810240
l00,tactile_graph_encoder,0.49863842856789814,0.27521992521378325,0.5797999505936678,0.7247800747862178,0.0,0.6573476383674516,0.4899841799816391,0.5143000000000265,0.5368200000000026,0.0757714285714308,0.07510282499999991,0.12527852142857143,0.2834732910123187,0.18374999999998687,0.10342682856789633,2348810240
l00,task_conditioned_topology,0.5192047932957665,0.2835577731421142,0.6001377355353461,0.7164422268578846,0.0,0.6521781726518904,0.48950630670888406,0.5098999999999962,0.5664199999999988,0.0757714285714308,0.06552435357142847,0.12527852142857143,0.2980907054056032,0.20075000000001159,0.11866519329576446,2348810240
l01,action_smoothness,0.4769059591694915,0.22848547408058223,0.5494794412704351,0.7715145259194239,0.012063492063492285,0.6827674425144838,0.5510963751718665,0.4319000000000042,0.774020000000007,0.07717142857142689,0.1418265625000003,0.12527852142857143,0.25003777673161565,0.17763888888889273,0.04035134471143716,2348810240
l01,adaptive_switch_gate,0.6171476581338377,0.49629518229484443,0.694995287793512,0.5037048177051556,0.0,0.4856143123105309,0.39410854915045207,0.529499999999995,0.5556199999999922,0.08942142857142896,0.06106529285714262,0.12527852142857143,0.4462292455416791,0.2126388888889056,0.218552058133837,2348810240
l01,behavior_cloning,0.38863221494780503,0.22588514346851818,0.5485034533219952,0.7741148565314844,0.012063492063492285,0.6852685363828506,0.5552125368860733,0.3231000000000038,0.42442000000000485,0.07682142857142711,0.1451178035714294,0.12527852142857143,0.185981699809533,0.17663888888889798,0.020014829756715743,2348810240
l01,fixed_topology_regularizer,0.48921002472621394,0.3558169005663627,0.559958756993273,0.6441830994336366,0.16357341269842493,0.5753775136488547,0.4976727560478413,0.4643000000000093,0.5220200000000108,0.08837142857142763,0.08282366071428558,0.12527852142857143,0.2833220016933569,0.20963888888887666,0.09680617610548344,2348810240
l01,force_penalty,0.5043776212446932,0.2317023960306259,0.5512231897359238,0.7682976039693765,0.012063492063492285,0.6798840620165677,0.48019274223856173,0.6483000000000267,0.5968200000000086,0.0775214285714277,0.13532277946428506,0.12527852142857143,0.2772812759743327,0.17863888888888554,0.0983660212446906,2348810240
