policy,task_success,topology_accuracy,switch_success,wrong_topology_rate,overregularization_rate,graph_edit_gap,contact_mode_violation,force_smoothness,action_smoothness,label_noise_sensitivity,extractor_false_positive,extractor_false_negative,topology_utility,policy_cost,recovery_margin,weight
action_smoothness,0.4771761176048254,0.23519060509287065,0.5474987114988118,0.7648093949071582,0.02950156533319998,0.6763391870599953,0.5514190733352644,0.43189999999994266,0.7740199999998683,0.07806566404825688,0.14182656249999973,0.12527852142857016,0.2500524337702547,0.18651027258757574,0.041036425230772666,14092861440
adaptive_switch_gate,0.6684805945410834,0.6189446552172785,0.7411399300921575,0.38105534478272257,1.1784246141400226e-07,0.387428665386717,0.3425957917346693,0.5295000000001532,0.5556199999999493,0.09814022447048369,0.06106529285714278,0.12527852142857016,0.5274568499680907,0.22151027258754205,0.26988499454108866,14092861440
behavior_cloning,0.3883224453572885,0.23084240277689827,0.5459128597857711,0.7691575972231257,0.02950156533319998,0.6804917299415066,0.5562693411651185,0.3231000000000322,0.4244200000000024,0.07749210517904702,0.14511780357142773,0.12527852142857016,0.18514890374218004,0.18551027258758185,0.02052813454800552,14092861440
fixed_topology_regularizer,0.49810535249767063,0.41502613008476696,0.5583105554630845,0.5849738699152357,0.2779896394488582,0.5182281233056856,0.49339980046518617,0.46429999999991123,0.5220199999999835,0.0964195478628768,0.08282366071428601,0.12527852142857016,0.2972185200057651,0.2185102725875687,0.10593828815477528,14092861440
force_penalty,0.505432406229948,0.24038389418591868,0.5499244020604701,0.7596161058141127,0.029298801940344423,0.6716626903767082,0.47964886879118634,0.6483000000000022,0.5968200000000007,0.07863922291745594,0.13532277946428548,0.12527852142857016,0.27858986013472076,0.18751027258759445,0.0994266170201414,14092861440
oracle_topology_router,0.9099003957186362,0.9527550500789622,0.8637208384020937,0.04724494992109319,0.03650000000000011,0.16881296100767348,0.16662908468114696,0.7423000000000386,0.746819999999996,0.10272869542414391,0.03770792946428534,0.12527852142857016,0.8129111573682282,0.22951027258756276,0.4768887957186276,14092861440
tactile_graph_encoder,0.5632026729194266,0.43574631153076504,0.6356738642068623,0.5642536884692343,0.013308687958738718,0.522861500156413,0.4249586615610814,0.5142999999998679,0.5368200000000016,0.08953684143239062,0.07510282500000039,0.12527852142857016,0.3860312006427776,0.2065102725875965,0.16799107291942586,14092861440
task_conditioned_topology,0.6557855845178352,0.6136469063271036,0.7243890278265006,0.38635309367290166,0.0003109818235576187,0.3877999548074199,0.3509248474994304,0.5099000000000994,0.5664199999999567,0.09928734220889991,0.06552435357142866,0.12527852142857016,0.5162087452256412,0.22351027258756276,0.25524598451783226,14092861440
