id,source,query,title,year,venue,doi,url,authors,abstract
10.1016/0736,crossref,contact sequence learning robotics,4450341 Contact tip for a welding head,1984,Robotics and Computer-Integrated Manufacturing,10.1016/0736-5845(84)90053-x,https://doi.org/10.1016/0736-5845(84)90053-x,,
10.1016/0736,crossref,contact sequence learning robotics,4461936 Contact sensing device,1984,Robotics and Computer-Integrated Manufacturing,10.1016/0736-5845(84)90069-3,https://doi.org/10.1016/0736-5845(84)90069-3,,
10.1177/0278,crossref,contact sequence learning robotics,Motion of Objects in Contact,1986,The International Journal of Robotics Research,10.1177/027836498600400403,https://doi.org/10.1177/027836498600400403,"Hopcroft, John; Wilfong, Gordon","The use of computers in the design, manufacture, and ma nipulation of physical objects is increasing. An important aspect of reasoning about such actions concerns the motion of objects in contact. The study of problems of this nature requires not only the ability to represent physical objects but also the development of a framework or theory in which to reason about them. In this paper such a development is in vestigated and a fundamental theorem concerning the motion of objects in contact is proved. The simplest form of this theorem states that if two objects in contact can be moved to another configuration in which they are in contact, then there is a way to move them from the first configuration to the second configuration such that the objects remain in contact throughout the motion. T"
10.1016/b978,crossref,contact sequence learning robotics,Points of Contact,1988,Robotics Sourcebook,10.1016/b978-0-444-01298-2.50015-1,https://doi.org/10.1016/b978-0-444-01298-2.50015-1,,
10.1177/0278,crossref,contact sequence learning robotics,The Kinematics of Contact and Grasp,1988,The International Journal of Robotics Research,10.1177/027836498800700302,https://doi.org/10.1177/027836498800700302,"Montana, David J.","The kinematics of contact describe the motion of a point of contact over the surfaces of two contacting objects in response to a relative motion of these objects. Using concepts from differential geometry, I derive a set of equations, called the contact equations, that embody this relationship. I employ the contact equations to design the following applications to be executed by an end-effector with tactile sensing capability: ( 1) determining the curvature form of an unknown object at a point of contact; and ( 2) following the surface of an unknown object. The contact equations also serve as a basis for an investigation of the kinematics of grasp. I derive the relation ship between the relative motion of two fingers grasping an object and the motion of the points of contact over the objec"
10.1016/0736,crossref,contact sequence learning robotics,Scheduling in a manufacturing shop with sequence-dependent setups,1989,Robotics and Computer-Integrated Manufacturing,10.1016/0736-5845(89)90031-8,https://doi.org/10.1016/0736-5845(89)90031-8,"Chen Zhou; Egbelu, Pius J.",
10.1016/b978,crossref,contact sequence learning robotics,POINTS OF CONTACT,1990,Understanding Robotics,10.1016/b978-0-12-361775-0.50016-9,https://doi.org/10.1016/b978-0-12-361775-0.50016-9,,
10.1163/1568,crossref,contact sequence learning robotics,Clean room robot with non-contact joints using magnetic bearings,1992,Advanced Robotics,10.1163/156855393x00078,https://doi.org/10.1163/156855393x00078,"Higuchi, Toshiro; Oka, Koichi; Sugawara, Hiroshi",
10.1016/0921,crossref,contact sequence learning robotics,Modelling and sequence generation for robotized mechanical assembly,1992,Robotics and Autonomous Systems,10.1016/0921-8890(92)90050-9,https://doi.org/10.1016/0921-8890(92)90050-9,"ElMaraghy, Hoda A.; Laperrière, Luc",
10.7210/jrsj,crossref,contact sequence learning robotics,Classification of Contact States and Planning of Assembly Sequence.,1993,Journal of the Robotics Society of Japan,10.7210/jrsj.11.185,https://doi.org/10.7210/jrsj.11.185,"YOKOKOHJI, Yasuyoshi",
10.1016/b978,crossref,contact sequence learning robotics,Diagnosing Contact Situations in Intelligent Robotics,1993,"Robotics, Mechatronics and Manufacturing Systems",10.1016/b978-0-444-89700-8.50023-3,https://doi.org/10.1016/b978-0-444-89700-8.50023-3,"Spreng, Michael",
10.7551/mitp,crossref,contact sequence learning robotics,Explicit Sequence Learning,1993,Mechanisms of Implicit Learning,10.7551/mitpress/4528.003.0009,https://doi.org/10.7551/mitpress/4528.003.0009,,
10.1163/1568,crossref,contact sequence learning robotics,Identification of contact states based on a geometric model for manipulative operations,1993,Advanced Robotics,10.1163/156855394x00428,https://doi.org/10.1163/156855394x00428,"Hirai, Shinichi",
10.7551/mitp,crossref,contact sequence learning robotics,Sequence Learning,1993,Mechanisms of Implicit Learning,10.7551/mitpress/4528.003.0007,https://doi.org/10.7551/mitpress/4528.003.0007,,
10.7551/mitp,crossref,contact sequence learning robotics,Sequence Learning as a Paradigm for Studying Implicit Learning,1993,Mechanisms of Implicit Learning,10.7551/mitpress/4528.003.0006,https://doi.org/10.7551/mitpress/4528.003.0006,,
10.7210/jrsj,crossref,contact sequence learning robotics,Contact Motion Control of Manipulator Based on Learning Control Scheme. Experimental Studies.,1994,Journal of the Robotics Society of Japan,10.7210/jrsj.12.1198,https://doi.org/10.7210/jrsj.12.1198,"Yamada, Koji; Suzuki, Tatsuya; Okuma, Shigeru",
10.1163/1568,crossref,contact sequence learning robotics,Contact points detection for inner link based grasps,1994,Advanced Robotics,10.1163/156855395x00111,https://doi.org/10.1163/156855395x00111,"Kaneko, Makoto; Imamura, Nobuaki; Honkawa, Kazunobu",
10.1142/9789,crossref,contact sequence learning robotics,NON-CONTACT CONTROL,1994,World Scientific Series in Robotics and Intelligent Systems,10.1142/9789814354356_0013,https://doi.org/10.1142/9789814354356_0013,,
10.1007/978-,crossref,contact sequence learning robotics,Control of Physical Contact and Dynamic Interaction,1996,Robotics Research,10.1007/978-1-4471-1021-7_4,https://doi.org/10.1007/978-1-4471-1021-7_4,"Fasse, Ernest D.; Hogan, Neville",
10.4135/9781,crossref,contact sequence learning robotics,Make and Keep Contact: The Ware Sequence,1996,Developing Transactional Analysis Counselling,10.4135/9781446221921.n23,https://doi.org/10.4135/9781446221921.n23,,
10.1109/70.5,crossref,contact sequence learning robotics,Contact constraint analysis and determination of geometrically valid contact formations from possible contact primitives,1997,IEEE Transactions on Robotics and Automation,10.1109/70.585907,https://doi.org/10.1109/70.585907,Jing Xiao; Lixin Zhang,
10.1163/1568,crossref,contact sequence learning robotics,Hierarchical reinforcement learning for motion learning: learning 'stand-up' trajectories,1998,Advanced Robotics,10.1163/156855399x00513,https://doi.org/10.1163/156855399x00513,"Morimoto, Jun; Doya, Kenji",
10.1177/0278,crossref,contact sequence learning robotics,Pose and Motion from Contact,1999,The International Journal of Robotics Research,10.1177/027836499901800504,https://doi.org/10.1177/027836499901800504,"Jia, Yan-Bin; Erdmann, Michael","In the absence of vision, grasping an object often relies on tactile feedback from the fingertips. As the finger pushes the object, the fingertip can feel the contact point move. If the object is known in advance, from this motion the finger may infer the location of the contact point on the object, and thereby, the object pose. This paper primarily investigates the problem of determining the pose (orientation and position) and motion (velocity and angular velocity) of a planar object with known geometry from such contact motion generated by pushing. A dynamic analysis of pushing yields a nonlinear system that relates through contact the object pose and motion to the finger motion. The contact motion on the fingertip thus encodes certain information about the object pose. Nonlinear observa"
10.1016/s073,crossref,contact sequence learning robotics,Disassembly sequence and cost analysis for electromechanical products,2000,Robotics and Computer-Integrated Manufacturing,10.1016/s0736-5845(99)00048-4,https://doi.org/10.1016/s0736-5845(99)00048-4,"Kuo, Tsai C.",
10.1007/3-54,crossref,contact sequence learning robotics,Introduction to Sequence Learning,2000,Lecture Notes in Computer Science,10.1007/3-540-44565-x_1,https://doi.org/10.1007/3-540-44565-x_1,"Sun, Ron",
10.7210/jrsj,crossref,contact sequence learning robotics,Learning of Virtual Impedance Parameters in Non-contact Impedance Control using Neural Networks.,2000,Journal of the Robotics Society of Japan,10.7210/jrsj.18.561,https://doi.org/10.7210/jrsj.18.561,"Noguchi, Yuji; Tsuji, Toshio; Harada, Kensuke; Kaneko, Makoto",
10.1201/9781,crossref,contact sequence learning robotics,On Random Sampling in Contact Configuration Space,2001,Algorithmic and Computational Robotics,10.1201/9781439864135-38,https://doi.org/10.1201/9781439864135-38,,
10.1109/robo,crossref,contact sequence learning robotics,A general strategy to determine geometrically valid contact formations from possible contact primitives,2002,Proceedings of 1995 IEEE International Conference on Robotics and Automation,10.1109/robot.1995.525669,https://doi.org/10.1109/robot.1995.525669,Jing Xiao; Lixin Zhang,
10.1109/robo,crossref,contact sequence learning robotics,Contact control of flexible micro/macro-manipulators,2002,Proceedings of International Conference on Robotics and Automation,10.1109/robot.1997.606719,https://doi.org/10.1109/robot.1997.606719,"Lew, J.Y.",
10.1109/robo,crossref,contact sequence learning robotics,Contact transition stability in the impedance control,2002,Proceedings of International Conference on Robotics and Automation,10.1109/robot.1997.620140,https://doi.org/10.1109/robot.1997.620140,"Surdilovic, D.T.",
10.1109/robo,crossref,contact sequence learning robotics,Evaluation of contact stability between objects,2002,Proceedings of International Conference on Robotics and Automation,10.1109/robot.1997.620117,https://doi.org/10.1109/robot.1997.620117,"Yong Yu; Yoshikawa, T.",
10.1109/robo,crossref,contact sequence learning robotics,Intrinsic contact sensing for soft fingers,2002,"Proceedings., IEEE International Conference on Robotics and Automation",10.1109/robot.1990.126117,https://doi.org/10.1109/robot.1990.126117,"Bicchi, A.",
10.1109/robo,crossref,contact sequence learning robotics,The condition for contact grasp stability,2002,Proceedings. 1991 IEEE International Conference on Robotics and Automation,10.1109/robot.1991.131612,https://doi.org/10.1109/robot.1991.131612,"Montana, D.J.",
10.1109/robo,crossref,contact sequence learning robotics,A fine contact motion of manipulators based on learning control,2003,Proceedings 1992 IEEE International Conference on Robotics and Automation,10.1109/robot.1992.220145,https://doi.org/10.1109/robot.1992.220145,"Suzuki, T.; Yamada, K.; Okuma, S.",
10.1109/robo,crossref,contact sequence learning robotics,Identification of contact conditions from contaminated data of contact moment,2003,Proceedings 1999 IEEE International Conference on Robotics and Automation (Cat. No.99CH36288C),10.1109/robot.1999.770039,https://doi.org/10.1109/robot.1999.770039,"Mouri, T.; Yamada, T.; Funahashi, Y.; Mimura, N.",
10.1109/robo,crossref,contact sequence learning robotics,The kinematics of contact with compliance,2003,"Proceedings, 1989 International Conference on Robotics and Automation",10.1109/robot.1989.100077,https://doi.org/10.1109/robot.1989.100077,"Montana, D.J.",
10.1016/j.ro,crossref,contact sequence learning robotics,A posture sequence learning system for an anthropomorphic robotic hand,2004,Robotics and Autonomous Systems,10.1016/j.robot.2004.03.008,https://doi.org/10.1016/j.robot.2004.03.008,"Chella, Antonio; Džindo, Haris; Infantino, Ignazio; Macaluso, Irene",
10.1093/nar/,crossref,contact sequence learning robotics,Contact-based sequence alignment,2004,Nucleic Acids Research,10.1093/nar/gkh566,https://doi.org/10.1093/nar/gkh566,"Kleinjung, J.",
10.1007/978-,crossref,contact sequence learning robotics,Distributed Manipulation with Rolling Contact,2004,Springer Tracts in Advanced Robotics,10.1007/978-3-540-45058-0_27,https://doi.org/10.1007/978-3-540-45058-0_27,"Bedillion, Mark; Messner, William",
10.1109/robo,crossref,contact sequence learning robotics,Dynamic assembly sequence selection using reinforcement learning,2004,"IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA '04. 2004",10.1109/robot.2004.1307458,https://doi.org/10.1109/robot.2004.1307458,"Lowe, G.; Shirinzadeh, B.",
10.1109/robo,crossref,contact sequence learning robotics,Estimating finger contact location and object pose from contact measurements in 3D grasping,2004,2003 IEEE International Conference on Robotics and Automation (Cat. No.03CH37422),10.1109/robot.2003.1241856,https://doi.org/10.1109/robot.2003.1241856,"Haidacher, S.; Hirzinger, G.",
10.1016/j.rc,crossref,contact sequence learning robotics,An integrated approach to selective-disassembly sequence planning,2005,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2004.11.008,https://doi.org/10.1016/j.rcim.2004.11.008,"Chung, Chulho; Peng, Qingjin",
