selector,lambda_topology,label_noise,trials,success_rate,switch_success_rate,mean_length,wrong_topology_rate
smoothness_only,0.0,0.0,300,0.3333333333333333,0.0,4.8284000000000225,0.6666666666666667
fixed_upper_topology,1.25,0.0,300,0.3333333333333333,0.0,4.8284000000000225,0.6666666666666667
task_conditioned_topology,0.5,0.0,300,0.6666666666666666,0.0,4.8284000000000225,0.33333333333333337
task_conditioned_topology,1.0,0.0,300,0.6666666666666666,0.0,4.8284000000000225,0.33333333333333337
task_conditioned_topology,1.25,0.0,300,1.0,1.0,5.240433333333311,0.0
task_conditioned_topology,2.0,0.0,300,1.0,1.0,5.240433333333311,0.0
task_conditioned_topology,1.25,0.1,300,0.9,0.9,5.240433333333315,0.09999999999999998
task_conditioned_topology,1.25,0.2,300,0.8,0.8,5.240433333333318,0.19999999999999996
task_conditioned_topology,1.25,0.4,300,0.6,0.6,5.236312999999993,0.4
